""	"freq"	"prev"	"p.freq"	"p.prev"	"p"	"contaminant"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"ASV"	"100tiss"	"102tiss"	"103tiss"	"104tiss"	"105tiss"	"212tiss"	"214tiss"	"215tiss"	"217tiss"	"218tiss"	"219tiss"	"220tiss"	"222tiss"	"224tiss"	"225tis"	"227tiss"	"228tiss"	"229tiss"	"230tiss"	"232tiss"	"234tiss"	"235tiss"	"238tss"	"248tiss"	"250tiss"	"251tiss"	"253tiss"	"256tiss"	"259tiss"	"262tiss"	"264tiss"	"266tiss"	"75Ltiss"	"76Ltiss"	"77Ltiss"	"78Ltiss"	"79Ltiss"	"80Ltiss"	"81Ltiss"	"81tiss"	"82Ltiss"	"82tiss"	"83Ltiss"	"83tiss"	"84Ltiss"	"84tiss"	"85tiss"	"86tiss"	"87tiss"	"88tiss"	"89tiss"	"90tiss"	"91tiss"	"92tiss"	"93tiss"	"94tiss"	"95tiss"	"97tiss"	"98tiss"	"99tiss"	"meanabundance"
"ASV15"	0.0074176485395075	49	NA	0.0694864306342289	0.0694864306342289	TRUE	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11_clade"	"Clade_II"	NA	"ASV15"	0.0162641215426568	0.00454559704065958	0	0.0148990219738346	0.00485150462204157	0.0110190692196124	0.00272192557984315	0.000774668345114748	0.00212964583697999	0.0142641129032258	0.0117904007670863	0.0136829682083057	0	0.00947610198640335	0	0.00763046736612618	0.0098157625383828	0.000748141712520514	0	0.0103571093823226	0.00461137891731934	0.012727401429886	0	0.00712030292737543	0.00814980829428217	0.00888869331807881	0.00838756666588351	0.000430993844869153	0.00813144980642488	0	0	0.00883543425465479	0.0232835335708191	0.00401662743526819	0.0029350925252977	0.00562979116367561	0.0207637657858213	0.0055959491041288	0.00782736106112796	0	0.00638846484420099	0	0.000655677242877194	0.00173813232762155	0.0071735594795539	0.0176094602647846	0	0.0143918138306651	0.0217569115000818	0.00991482913575086	0.015400238948626	0.00745680413671333	0.00929590979968814	0	0.0159119966581009	0.00405108178472035	0.0017626940278874	0.0136860431376342	0.0163058587470235	0.00925366737449105	0.0074176485395075
"ASV29"	0.00691607293581118	49	NA	0.0694864306342289	0.0694864306342289	TRUE	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"AEGEAN-169_marine_group"	NA	"ASV29"	0.00318952084144916	0.00122260885921189	0	0.00538549472882002	0.00061627220874582	0.0192444344939697	0.0114717170031704	0.000839224040540977	0.00224633875955423	0.0248235887096774	0.0179874638208711	0.0122630375451796	0.000189238629912319	0.0230496658548691	0	0.0190447241816638	0.0156499488229273	0.00118254657785501	0.00189816882536847	0.0157934201893336	0.0146288415086842	0.0246478374743399	0.000213078991426107	0.0228705136430539	0.01722573116746	0.0173263514554135	0.023565068251768	0.000592616536695085	0.0257150626043946	0	0	0.0241471030415173	0.004808408619919	0.000831371763409626	0	0.00163553221553422	0.0106773302551841	0.000947805764736432	0.0110277106575497	0	0.000577270919656716	0	0	0.00132819545789948	0.000493726765799256	0.00683578915388121	0	0.00236012543323981	0.00288612091327616	0.00327881701327202	0.00399044205495818	0.00165531592886871	0.00119947223221782	0	0.00444320670405205	0.000695753658317623	0	0.00274446271399555	0.00368664708513133	0.00183125206989928	0.00691607293581118
"ASV42"	0.00248385772596616	44	NA	0.0239776657881484	0.0239776657881484	TRUE	"Bacteria"	"Cyanobacteria"	"Oxyphotobacteria"	"Synechococcales"	"Cyanobiaceae"	"Prochlorococcus_MIT9313"	"ASV42"	0.0118085313595637	0.00347973290698768	0	0.0113298615521402	0.00469415852619157	0.00302732378736701	0.00166861338227933	0	0	0.00284778225806452	0.0050251256281407	0.00154901526886479	0	0.00146585256062512	0	0.00144643474797447	0.00294779938587513	0	0	0.00140594245008904	0.00108749071973064	0.00460111842570963	0	0.0020253865217446	0.00166700624201226	0.00147411498096852	0.0014449169466438	0	0.00192927710375367	0	0	0.000994564588874754	0.00131384686234407	0.00187309059948916	0.00265555990384078	0.00250336563602176	0.00404007090736695	0.00159698779537782	0.00327746645416688	0	0.00278372865701128	0	0	0.000787078789866361	0.00251219795539033	0.00248892835859265	0	0.00612312262749629	0.00398448271832862	0.00849096039293552	0.0055794504181601	0.00138731239752806	0.00657710607332774	0	0.00346848614504348	0.0016832749798007	0.000776111549592213	0.00357868265789728	0.00759086678512287	0.00603923554966784	0.00248385772596616
"ASV45"	0.00493956923958534	40	NA	0.0705185462912931	0.0705185462912931	TRUE	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"HIMB11"	"ASV45"	0.000608687183482665	0	0.000157280618112829	0.000609678648545662	0	0.0101332606516047	0.0150592357750709	0.000882261170825129	0.00217826788805259	0.013835685483871	0.0110268657776515	0.00326399645939367	0	0.013296552360946	0	0.0167912207699645	0.0113715455475947	0.00127908099237378	0.00319019970650163	0.00868560002499453	0.00820846360565913	0.0121327953564097	0.000618943736999645	0.0152092689738461	0.00816833058586008	0.0213636663659765	0.015565162230106	0.00106401605452072	0.0181403840426772	0.000420484862544948	0	0.012050422111715	0.0020181771390646	0	0	0.000378286362776622	0	0	0.0301269857590869	0	0.000166767154567496	0	0	0.00204968434861031	0	0.00889236845487795	0	0.00308631787423667	0.00785211843611974	0	0.00421744324970131	0.000441417581031656	0	0	0.00026583287972961	0.000662088158721609	0	0.0109053099912951	0	0	0.00493956923958534
"ASV46"	0.00419449375260129	45	NA	0.0299720822351856	0.0299720822351856	TRUE	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11_clade"	"Clade_I"	"Clade_Ib"	"ASV46"	0.0154971756914686	0.00228847299288379	0	0.00711291756636606	0.00271422015341244	0.00412728387731065	0.0100325379609544	0	0.000855748098877803	0.00753528225806452	0.00461672319193139	0.00167809987460353	0	0.00786020152587172	0	0.00562851782363977	0.00685772773797339	0	0	0.00488955540975412	0.00198676189181559	0.00206696396970341	0	0.00361047162571863	0.00322287873455704	0.00140810983256694	0.00599111904705965	0	0.0047778741696987	0	0	0.00414016421880421	0.0193826274228284	0.00154254519957931	0.00482193772013194	0.0045171842143326	0.0112132580286103	0.00315502466891716	0.009228317310164	0	0.00393827049632471	0	0	0.00132819545789948	0.00286071096654275	0.00470909919489594	0	0.00407658029377785	0.0114977448528896	0.00455899258020692	0.0107646356033453	0.00413040736536764	0.0078665387229619	0	0.00629137815360077	0.00204237364215818	0.000591949486977111	0.00735080762162685	0.0113500380752076	0.00555220042469463	0.00419449375260129
"ASV55"	0.00256210043652079	43	NA	0.0190731432405726	0.0190731432405726	TRUE	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Cellvibrionales"	"Halieaceae"	"OM60(NOR5)_clade"	"ASV55"	0.0044312426957538	0.00133755499127454	0	0.00068588847961387	0.00211106011932079	0.00436090371942257	0.00168947104955782	0	0.000690433125230955	0.0045866935483871	0.00765310652200934	0.000829829608320425	0	0.00734080494927227	0	0.00528263125347197	0.00545547594677584	0.000615406892557197	0.00374848465513941	0.00632674102540069	0.00319973230997668	0.00351100729100304	0	0.00645356078046571	0.00487136268499139	0.00356427801368507	0.00501609379038132	0	0.00789838277375665	0	0	0.00455649358158899	0.00143575017946877	0.000801322181599639	0	0.000990220184915275	0.00214371109370491	0	0	0	0.00229625543596783	0	0	0	0.00213464219330855	0.000993234321504107	0	0.0081531605875557	0.00850646163912972	0.00425854321245689	0.00587813620071685	0.000772480766805398	0.00403822318180001	0	0.00449384153828626	0.000852859323099021	0.000513022888713496	0.00513831124867008	0.00184936722631178	0.00225984297987571	0.00256210043652079
"ASV56"	0.00281528370924662	48	NA	0.0567236168442683	0.0567236168442683	TRUE	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Cellvibrionales"	"Halieaceae"	"OM60(NOR5)_clade"	"ASV56"	0.00329908453447604	0.000919569056501249	0	0.00231169820906897	0.000930964400445814	0.00527591476769427	0.00115760053395628	0	0.000544566972013147	0.00608618951612903	0.00655219560701032	0.00357748764475917	0.000178725372694968	0.00732926280312561	0	0.00913979058140388	0.00436028659160696	0.000736074910705667	0.00976201110189498	0.00468647483363014	0.00918093126849518	0.00802718199193035	0.000162345898229415	0.00627744021335749	0.00246346477986256	0.00499438956238587	0.00554472194159246	0.000215496922434576	0.00846810218694566	0	0	0.0042558112640222	0.00532311151444554	0.000781289127059648	0.000531111980768156	0.000467294918724062	0.00382020310288439	0.00048039470267463	0	0	0.00159070208972073	0	0	0	0.00133596654275093	0.00592435060003038	0	0.00397755405182373	0.00112173120515996	0.00369683352492423	0.00223416965352449	0.00140307731113633	0.00462796369597377	0	0.004190032532881	0.000381542328754825	0.000276243093922652	0.00411064899893607	0.00396465653745271	0.00224036157487678	0.00281528370924662
"ASV59"	0.00206686340225191	46	NA	0.0372625887248253	0.0372625887248253	TRUE	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Puniceispirillales"	"SAR116_clade"	NA	"ASV59"	0.00177736657576938	0.000428435583142627	0	0.00182903594563699	0.000590047859437488	0.00485734588391041	0	0.000301259911989069	0.000320905537079176	0.00572076612903226	0.0120389935543442	0.00099579552998451	0	0.00594420526552707	0	0.00524070560860314	0.00941658137154555	0.000543006081668115	0.000111656989727557	0.00459274533695754	0.00555247665554777	0.00705032915693353	5.07330931966922e-05	0.00885634851744223	0.00333401248402452	0.00520340586565752	0.00441698188567535	0.000309776825999704	0.00805376079553547	0	0	0.00420955244593501	0.00241097671646643	0.000240396654479892	0.000880527757589311	0	0.000742053840128623	0.000493378343287458	0.00129813377204257	0	0.00111605711133632	0	0	0	0.00132144516728625	0.000701106579885252	0	0.000148539362931177	0.00546843962515482	0	0.00172043010752688	0.00050447723546475	0.000719683339330694	0	0.000848133473423041	0.000392764161953497	0.000144698763483294	0.000386884611664571	0.00165596934643604	0.00107147727494107	0.00206686340225191
"ASV63"	0.00195854950595129	50	NA	0.0847395495539377	0.0847395495539377	TRUE	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Puniceispirillales"	"SAR116_clade"	NA	"ASV63"	0.00237388001558239	0.000909119408131916	0	0.00690969135018417	0.00149478791057497	0.00371844915361478	0.000333722676455865	0.000204426368849725	0.000651535484372873	0.00409526209677419	0.00323170623435197	0.00129084605738733	0	0.00339339096711643	0	0.00293479514081776	0.00341862845445241	0	9.57059911950488e-05	0.00268691223794795	0.00327292880072778	0.00287392935513556	6.08797118360306e-05	0.00256632826357701	0.00201892978199263	0.000792061780818904	0.00361816601273406	0	0.00137250585904624	0	0	0.00124898808835434	0.0069484890761083	0.000891470927029599	0.00116006037904623	0.00161328007654736	0.00258344670267002	0.000817969358608154	0.00266053159220606	0.00011611704598235	0.000936461714109784	0	0.000235634009158991	0	0.00104553903345725	0.0023720772619451	0.000256799346328937	0.00737745502558178	0.00491925872262859	0.00513376528372871	0.004778972520908	0.0014819018791777	0.00264883451281436	0	0.00355709710495335	0.00139150731663525	0.00040778742436201	0.00117274397910823	0.004496500707111	0.00294169215483821	0.00195854950595129
"ASV64"	0.00198054111006949	50	NA	0.0847395495539377	0.0847395495539377	TRUE	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Cellvibrionales"	"Porticoccaceae"	"SAR92_clade"	"ASV64"	0.00264170237631476	0.00135845428801321	3.93201545282073e-05	0.00572843896862695	0.00317314626630827	0.00128490913161558	8.34306691139663e-05	0	0.00020421261450493	0.000844254032258065	0.00214855194701422	0.00245260750903592	0	0.000611733745772689	0	0.000723217373987234	0.0009007164790174	0.000217202432667246	0	0.0021401568406911	0.00122342705969697	0.00131662773412614	7.10263304753691e-05	0.000528361701324678	0.000426012706292022	0.000231018019405514	0.0010924981791697	0	7.76890108894097e-05	0	0	0.00164218804209552	0.00684013057199745	0.000731206490709671	0.000908481019735003	0.000545177405178073	0.00828626788143629	0.000804985717995326	0.00303326307130739	0	0.00143676317781227	0	0.000317593664518641	0	0.00139405204460967	0.0148985148225616	0.000350180926812186	0.00770754249876217	0.00912575074197845	0.00258647716584805	0.00864994026284349	0.00220708790515828	0.00309863659989605	0.000105430860784406	0.00813954960314949	0.000875302989496364	0.000276243093922652	0.000834219943901731	0.00245373560092347	0.00206502892988642	0.00198054111006949
