""	"Site"	"lat"	"lon"	"Date"	"divetime"	"depth"	"Coral"	"species"	"healthstate"	"condition"	"conditionshort"	"samplenumber"	"sampletype"	"samplecategory"	"quant_reading"	"is.neg"	"is.swctrl"
"163eco"	"Black Point"	"18.34450"	"-64.98595"	"2/13/20"	"10:11"	"11.1"	"MCAV10"	"MCAV"	"H"	"Healthy"	"HD"	"163"	"eco"	"coral"	" 66.0"	"FALSE"	"FALSE"
"164eco"	"Black Point"	"18.34450"	"-64.98595"	"2/13/20"	"10:11"	"11.1"	"CNAT4"	"CNAT"	"D"	"Diseased"	"DD"	"164"	"eco"	"coral"	" 61.6"	"FALSE"	"FALSE"
"165eco"	"Black Point"	"18.34450"	"-64.98595"	"2/13/20"	"10:11"	"11.1"	"MCAV7"	"MCAV"	"H"	"Healthy"	"HD"	"165"	"eco"	"coral"	" 48.8"	"FALSE"	"FALSE"
"166eco"	"Black Point"	"18.34450"	"-64.98595"	"2/13/20"	"10:11"	"11.1"	"MCAV7"	"MCAV"	"D"	"Diseased"	"DD"	"166"	"eco"	"coral"	" 13.0"	"FALSE"	"FALSE"
"167eco"	"Black Point"	"18.34450"	"-64.98595"	"2/13/20"	"10:11"	"11.1"	"MCAV10"	"MCAV"	"D"	"Diseased"	"DD"	"167"	"eco"	"coral"	" 50.4"	"FALSE"	"FALSE"
"168eco"	"Black Point"	"18.34450"	"-64.98595"	"2/13/20"	"10:11"	"11.1"	"MCAV9"	"MCAV"	"D"	"Diseased"	"DD"	"168"	"eco"	"coral"	" 80.8"	"FALSE"	"FALSE"
"169eco"	"Black Point"	"18.34450"	"-64.98595"	"2/13/20"	"10:11"	"11.1"	"MCAV9"	"MCAV"	"H"	"Healthy"	"HD"	"169"	"eco"	"coral"	" 61.8"	"FALSE"	"FALSE"
"170eco"	"Black Point"	"18.34450"	"-64.98595"	"2/13/20"	"10:11"	"11.1"	"MCAV8"	"MCAV"	"H"	"Healthy"	"HD"	"170"	"eco"	"coral"	" 68.6"	"FALSE"	"FALSE"
"171eco"	"Black Point"	"18.34450"	"-64.98595"	"2/13/20"	"10:11"	"11.1"	"MCAV8"	"MCAV"	"D"	"Diseased"	"DD"	"171"	"eco"	"coral"	" 85.6"	"FALSE"	"FALSE"
"172eco"	"Black Point"	"18.34450"	"-64.98595"	"2/13/20"	"10:11"	"11.1"	"CNAT4"	"CNAT"	"H"	"Healthy"	"HD"	"172"	"eco"	"coral"	" 84.6"	"FALSE"	"FALSE"
"173eco"	"Black Point"	"18.34450"	"-64.98595"	"2/13/20"	"10:11"	"11.1"	"CNAT5"	"CNAT"	"H"	"Healthy"	"HD"	"173"	"eco"	"coral"	" 84.4"	"FALSE"	"FALSE"
"174eco"	"Black Point"	"18.34450"	"-64.98595"	"2/13/20"	"10:11"	"11.1"	"CNAT5"	"CNAT"	"D"	"Diseased"	"DD"	"174"	"eco"	"coral"	" 67.2"	"FALSE"	"FALSE"
