""	"Site"	"lat"	"lon"	"Date"	"divetime"	"depth"	"Coral"	"species"	"healthstate"	"condition"	"conditionshort"	"samplenumber"	"sampletype"	"samplecategory"	"quant_reading"	"is.neg"	"is.swctrl"
"100tiss"	"Buck Island"	"18.27883"	"-64.89833"	"2/11/20"	"15:08"	"11.9"	"SW Ctrl 1"	"SWCONTROL"	NA	NA	NA	"100"	"tiss"	"coral"	" 59.40"	"FALSE"	"TRUE"
"102tiss"	"Buck Island"	"18.27883"	"-64.89833"	"2/11/20"	"15:08"	"11.9"	"MMEA3"	"MMEA"	"H"	"Healthy"	"HD"	"102"	"tiss"	"coral"	" 74.80"	"FALSE"	"FALSE"
"103tiss"	"Buck Island"	"18.27883"	"-64.89833"	"2/11/20"	"15:08"	"11.9"	"OFRA2"	"OFRA"	"D"	"Diseased"	"DD"	"103"	"tiss"	"coral"	" 24.20"	"FALSE"	"FALSE"
"104tiss"	"Buck Island"	"18.27883"	"-64.89833"	"2/11/20"	"15:08"	"11.9"	"SW Ctrl 3"	"SWCONTROL"	NA	NA	NA	"104"	"tiss"	"coral"	" 64.60"	"FALSE"	"TRUE"
"105tiss"	"Buck Island"	"18.27883"	"-64.89833"	"2/11/20"	"15:08"	"11.9"	"MMEA5"	"MMEA"	"H"	"Healthy"	"HD"	"105"	"tiss"	"coral"	" 52.00"	"FALSE"	"FALSE"
"163eco"	"Black Point"	"18.34450"	"-64.98595"	"2/13/20"	"10:11"	"11.1"	"MCAV10"	"MCAV"	"H"	"Healthy"	"HD"	"163"	"eco"	"coral"	" 66.00"	"FALSE"	"FALSE"
"164eco"	"Black Point"	"18.34450"	"-64.98595"	"2/13/20"	"10:11"	"11.1"	"CNAT4"	"CNAT"	"D"	"Diseased"	"DD"	"164"	"eco"	"coral"	" 61.60"	"FALSE"	"FALSE"
"165eco"	"Black Point"	"18.34450"	"-64.98595"	"2/13/20"	"10:11"	"11.1"	"MCAV7"	"MCAV"	"H"	"Healthy"	"HD"	"165"	"eco"	"coral"	" 48.80"	"FALSE"	"FALSE"
"166eco"	"Black Point"	"18.34450"	"-64.98595"	"2/13/20"	"10:11"	"11.1"	"MCAV7"	"MCAV"	"D"	"Diseased"	"DD"	"166"	"eco"	"coral"	" 13.00"	"FALSE"	"FALSE"
"167eco"	"Black Point"	"18.34450"	"-64.98595"	"2/13/20"	"10:11"	"11.1"	"MCAV10"	"MCAV"	"D"	"Diseased"	"DD"	"167"	"eco"	"coral"	" 50.40"	"FALSE"	"FALSE"
"168eco"	"Black Point"	"18.34450"	"-64.98595"	"2/13/20"	"10:11"	"11.1"	"MCAV9"	"MCAV"	"D"	"Diseased"	"DD"	"168"	"eco"	"coral"	" 80.80"	"FALSE"	"FALSE"
"169eco"	"Black Point"	"18.34450"	"-64.98595"	"2/13/20"	"10:11"	"11.1"	"MCAV9"	"MCAV"	"H"	"Healthy"	"HD"	"169"	"eco"	"coral"	" 61.80"	"FALSE"	"FALSE"
"170eco"	"Black Point"	"18.34450"	"-64.98595"	"2/13/20"	"10:11"	"11.1"	"MCAV8"	"MCAV"	"H"	"Healthy"	"HD"	"170"	"eco"	"coral"	" 68.60"	"FALSE"	"FALSE"
"171eco"	"Black Point"	"18.34450"	"-64.98595"	"2/13/20"	"10:11"	"11.1"	"MCAV8"	"MCAV"	"D"	"Diseased"	"DD"	"171"	"eco"	"coral"	" 85.60"	"FALSE"	"FALSE"
"172eco"	"Black Point"	"18.34450"	"-64.98595"	"2/13/20"	"10:11"	"11.1"	"CNAT4"	"CNAT"	"H"	"Healthy"	"HD"	"172"	"eco"	"coral"	" 84.60"	"FALSE"	"FALSE"
"173eco"	"Black Point"	"18.34450"	"-64.98595"	"2/13/20"	"10:11"	"11.1"	"CNAT5"	"CNAT"	"H"	"Healthy"	"HD"	"173"	"eco"	"coral"	" 84.40"	"FALSE"	"FALSE"
"174eco"	"Black Point"	"18.34450"	"-64.98595"	"2/13/20"	"10:11"	"11.1"	"CNAT5"	"CNAT"	"D"	"Diseased"	"DD"	"174"	"eco"	"coral"	" 67.20"	"FALSE"	"FALSE"
"175eco"	"Black Point"	"18.34450"	"-64.98595"	"2/13/20"	"12:23"	"11.8"	"MCAV13"	"MCAV"	"H"	"No Lesion"	"HH"	"175"	"eco"	"coral"	"100.00"	"FALSE"	"FALSE"
"176eco"	"Black Point"	"18.34450"	"-64.98595"	"2/13/20"	"12:23"	"11.8"	"CNAT9"	"CNAT"	"H"	"Healthy"	"HD"	"176"	"eco"	"coral"	" 83.00"	"FALSE"	"FALSE"
"177eco"	"Black Point"	"18.34450"	"-64.98595"	"2/13/20"	"12:23"	"11.8"	"CNAT7"	"CNAT"	"H"	"Healthy"	"HD"	"177"	"eco"	"coral"	" 67.60"	"FALSE"	"FALSE"
