	Kingdom	Phylum	Class	Order	Family	Genus	ASV
ASV1	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	ASV1
ASV2	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Prochlorococcus_MIT9313	ASV2
ASV3	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ia	ASV3
ASV4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Terasakiellaceae	NA	ASV4
ASV5	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ia	ASV5
ASV6	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ib	ASV6
ASV7	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ia	ASV7
ASV8	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_II	NA	ASV8
ASV9	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	NA	NA	ASV9
ASV10	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169_marine_group	NA	ASV10
ASV11	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	NA	NA	ASV11
ASV12	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	NA	ASV12
ASV13	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Halodesulfovibrio	ASV13
ASV14	Bacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Candidatus_Actinomarina	ASV14
ASV15	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_II	NA	ASV15
ASV16	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Coraliomargarita	ASV16
ASV17	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	ASV17
ASV18	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	NA	NA	ASV18
ASV19	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	NA	ASV19
ASV20	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Catenococcus	ASV20
ASV21	Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	ASV21
ASV22	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	ASV22
ASV23	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group	ASV23
ASV24	Bacteria	Proteobacteria	NA	NA	NA	NA	ASV24
ASV25	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Catenococcus	ASV25
ASV26	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	Roseimarinus	ASV26
ASV27	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group	ASV27
ASV28	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	NA	NA	ASV28
ASV29	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169_marine_group	NA	ASV29
ASV30	Bacteria	Acidobacteria	Blastocatellia_(Subgroup_4)	Blastocatellales	Blastocatellaceae	Blastocatella	ASV30
ASV31	Bacteria	Proteobacteria	NA	NA	NA	NA	ASV31
ASV32	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	ASV32
ASV33	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS2b_marine_group	ASV33
ASV34	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	ASV34
ASV35	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	NA	NA	ASV35
ASV36	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Tepidibacter	ASV36
ASV37	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_IV	NA	ASV37
ASV38	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	NA	NA	ASV38
ASV39	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum	ASV39
ASV40	Archaea	Euryarchaeota	Thermoplasmata	Marine_Group_II	NA	NA	ASV40
ASV41	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	ASV41
ASV42	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Prochlorococcus_MIT9313	ASV42
ASV43	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade	ASV43
ASV44	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XII	Fusibacter	ASV44
ASV45	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	HIMB11	ASV45
ASV46	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ib	ASV46
ASV47	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169_marine_group	NA	ASV47
ASV48	Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	ASV48
ASV49	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ib	ASV49
ASV50	Archaea	Euryarchaeota	Thermoplasmata	Marine_Group_II	NA	NA	ASV50
ASV51	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19_marine_sediment_group	ASV51
ASV52	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Algicola	ASV52
ASV53	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA	ASV53
ASV54	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	ASV54
ASV55	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade	ASV55
ASV56	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade	ASV56
ASV57	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Saccharospirillaceae	Thalassolituus	ASV57
ASV58	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	ASV58
ASV59	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	NA	ASV59
ASV60	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Shimia	ASV60
ASV61	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	ASV61
ASV62	Bacteria	NA	NA	NA	NA	NA	ASV62
ASV63	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	NA	ASV63
ASV64	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	SAR92_clade	ASV64
ASV65	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	ASV65
ASV66	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group	ASV66
ASV67	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	ASV67
ASV68	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae	NA	ASV68
ASV69	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Nitrincolaceae	Amphritea	ASV69
ASV70	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	ASV70
ASV71	Archaea	Euryarchaeota	NA	NA	NA	NA	ASV71
ASV72	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group	ASV72
ASV73	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	ASV73
ASV74	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169_marine_group	NA	ASV74
ASV75	Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	ASV75
ASV76	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	ASV76
ASV77	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	ASV77
ASV78	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	NA	ASV78
ASV79	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group	ASV79
ASV80	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade	ASV80
ASV81	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	NA	NA	ASV81
ASV82	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	ASV82
ASV83	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA	ASV83
ASV84	Archaea	NA	NA	NA	NA	NA	ASV84
ASV85	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	ASV85
ASV86	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	NA	ASV86
ASV87	Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	ASV87
ASV88	Bacteria	Bacteroidetes	Bacteroidia	NA	NA	NA	ASV88
ASV89	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9_marine_group	NA	ASV89
ASV90	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	NA	NA	ASV90
ASV91	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	NA	ASV91
ASV92	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NA	NA	ASV92
ASV93	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9_marine_group	NA	ASV93
ASV94	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	Marinoscillum	ASV94
ASV95	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA	ASV95
ASV96	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	ASV96
ASV97	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	NA	NA	ASV97
ASV98	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group	ASV98
ASV99	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Endozoicomonadaceae	Endozoicomonas	ASV99
ASV100	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	NA	NA	ASV100
ASV101	Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	ASV101
ASV102	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Endozoicomonadaceae	Endozoicomonas	ASV102
ASV103	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	ASV103
ASV104	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Neisseriaceae	Neisseria	ASV104
ASV105	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	ASV105
ASV106	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	ASV106
ASV107	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA	ASV107
ASV108	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Endozoicomonadaceae	Endozoicomonas	ASV108
ASV109	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	NA	ASV109
ASV110	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	NA	ASV110
ASV111	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Thalassobius	ASV111
ASV112	Archaea	Euryarchaeota	Thermoplasmata	Marine_Group_II	NA	NA	ASV112
ASV113	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	ASV113
ASV114	Bacteria	Proteobacteria	Gammaproteobacteria	OM182_clade	NA	NA	ASV114
ASV115	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9_marine_group	NA	ASV115
ASV116	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	ASV116
ASV117	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	Marinoscillum	ASV117
ASV118	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A_clade	NA	NA	ASV118
ASV119	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae	NA	ASV119
ASV120	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	NA	NA	ASV120
ASV121	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	ASV121
ASV122	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	ASV122
ASV123	Bacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Candidatus_Actinomarina	ASV123
ASV124	Bacteria	Proteobacteria	NA	NA	NA	NA	ASV124
ASV125	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	NA	NA	ASV125
ASV126	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Wenyingzhuangia	ASV126
ASV127	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	ASV127
ASV128	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	ASV128
ASV129	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Nitrincolaceae	Amphritea	ASV129
ASV130	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Vallitalea	ASV130
ASV131	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia/Shigella	ASV131
ASV132	Bacteria	Bacteroidetes	Bacteroidia	NA	NA	NA	ASV132
ASV133	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	NA	NA	ASV133
ASV134	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	NA	ASV134
ASV135	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XII	Fusibacter	ASV135
ASV136	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	MWH-UniP1_aquatic_group	ASV136
ASV137	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	NA	NA	ASV137
ASV138	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA	ASV138
ASV139	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	HIMB11	ASV139
ASV140	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_1	ASV140
ASV141	Archaea	Euryarchaeota	Thermoplasmata	Marine_Group_II	NA	NA	ASV141
ASV142	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	NA	ASV142
ASV143	Bacteria	Proteobacteria	NA	NA	NA	NA	ASV143
ASV144	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae	NA	ASV144
ASV145	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_II	NA	ASV145
ASV146	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_III	NA	ASV146
ASV147	Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	ASV147
ASV148	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Pseudohongiellaceae	Pseudohongiella	ASV148
ASV149	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	MB11C04_marine_group	ASV149
ASV150	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	ASV150
ASV151	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	ASV151
ASV152	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Cyanobium_PCC-6307	ASV152
ASV153	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA	ASV153
ASV154	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	NA	NA	ASV154
ASV155	Archaea	Euryarchaeota	Thermoplasmata	Marine_Group_II	NA	NA	ASV155
ASV156	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS7_marine_group	NA	ASV156
ASV157	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	NA	NA	ASV157
ASV158	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	ASV158
ASV159	Bacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales	Nisaeaceae	Nisaea	ASV159
ASV160	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	PS1_clade	NA	ASV160
ASV161	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	HIMB11	ASV161
ASV162	Bacteria	Bacteroidetes	Bacteroidia	NA	NA	NA	ASV162
ASV163	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Nitrincolaceae	NA	ASV163
ASV164	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	PS1_clade	NA	ASV164
ASV165	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_IV	NA	ASV165
ASV166	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	ASV166
ASV167	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	ASV167
ASV168	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	NA	ASV168
ASV169	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	ASV169
ASV170	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	ASV170
ASV171	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans	ASV171
ASV172	Archaea	Euryarchaeota	Thermoplasmata	Marine_Group_II	NA	NA	ASV172
ASV173	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	Candidatus_Puniceispirillum	ASV173
ASV174	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum	ASV174
ASV175	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_4	Paramaledivibacter	ASV175
ASV176	Bacteria	Bacteroidetes	Bacteroidia	NA	NA	NA	ASV176
ASV177	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	ASV177
